time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/reward,train/value_loss,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,train/approx_kl,train/entropy_loss,train/loss,train/std
123,1,16,2048,-0.3190783,,,,,,,,,,,
115,2,35,4096,0.0026880612,10.749470990896224,-0.009755718710948713,10,0.2,0.018596172332763672,0.00025,0.2296875,0.013628638,-68.15010375976563,4.110930919647217,1.0016793012619019
111,3,54,6144,1.3371662,11.9434190928936,-0.014962580319843256,20,0.2,0.2064177393913269,0.00025,0.145654296875,0.011766649,-68.25561156272889,4.339667320251465,1.004579782485962
113,4,71,8192,-0.5004507,10.244171768426895,-0.013617084381985478,30,0.2,0.304334819316864,0.00025,0.144189453125,0.010085911,-68.4447599887848,4.700987815856934,1.0090192556381226
113,5,90,10240,-0.07494729,11.926448714733123,-0.012333082675468177,40,0.2,0.2800258994102478,0.00025,0.11533203125,0.011183082,-68.56160912513732,5.512052536010742,1.0102797746658325
112,6,109,12288,-4.26159,11.168850091099738,-0.01793780330044683,50,0.2,0.3873608112335205,0.00025,0.16318359375,0.015411491,-68.65599460601807,4.29045295715332,1.012414574623108
111,7,128,14336,-0.13883567,12.976537209749221,-0.011391469193040394,60,0.2,0.512826681137085,0.00025,0.144384765625,0.009659236,-68.74243726730347,5.419361591339111,1.0143789052963257
110,8,147,16384,-0.04285047,13.112908047437667,-0.013663486737641506,70,0.2,0.5491541624069214,0.00025,0.1505859375,0.013090031,-68.82039189338684,6.048173904418945,1.0155385732650757
111,9,165,18432,-0.6592638,11.564558485150338,-0.012301574563025497,80,0.2,0.5986471772193909,0.00025,0.135302734375,0.011347897,-68.9095208644867,4.651402950286865,1.0183111429214478
104,10,196,20480,-1.7272836,11.904039034247399,-0.012562934291781857,90,0.2,0.653455376625061,0.00025,0.131201171875,0.0097128125,-69.01501111984253,4.952243804931641,1.0199483633041382
105,11,214,22528,-1.5232978,12.264823359251022,-0.011188962506275857,100,0.2,0.6825367212295532,0.00025,0.12060546875,0.012651931,-69.09315209388733,4.765485763549805,1.0222030878067017
104,12,235,24576,2.3419354,14.59586780667305,-0.013131091726245358,110,0.2,0.6368727087974548,0.00025,0.126220703125,0.010911086,-69.1844129562378,5.228715896606445,1.0233155488967896
104,13,255,26624,-2.9455264,16.955143469572068,-0.016786641997168773,120,0.2,0.5826090574264526,0.00025,0.146435546875,0.01177134,-69.23871307373047,10.400921821594238,1.0246919393539429
105,14,271,28672,0.1271968,19.128141874074934,-0.012196720694191754,130,0.2,0.5719066262245178,0.00025,0.12333984375,0.015204832,-69.28548493385316,9.961204528808594,1.0257891416549683
106,15,288,30720,0.05077887,10.366542699933053,-0.010493874791427516,140,0.2,0.6583652496337891,0.00025,0.115283203125,0.010212256,-69.38001866340637,3.924260139465332,1.0279206037521362
102,16,318,32768,-1.1241163,11.188212051987648,-0.018639679969055578,150,0.2,0.5569958686828613,0.00025,0.164990234375,0.013029026,-69.4762221813202,3.982727289199829,1.029974341392517
104,17,334,34816,-0.26724315,18.190015071630476,-0.013268475205404685,160,0.2,0.6363068222999573,0.00025,0.101806640625,0.0111221615,-69.57534132003784,7.261203765869141,1.032375454902649
106,18,347,36864,0.57569504,18.522063279151915,-0.015202198151382618,170,0.2,0.6768024563789368,0.00025,0.141357421875,0.010305047,-69.67134842872619,9.197468757629395,1.0340622663497925
107,19,360,38912,-1.9639407,17.382727527618407,-0.012565188012376893,180,0.2,0.7358226776123047,0.00025,0.12060546875,0.011264153,-69.76633200645446,8.09619140625,1.036206841468811
109,20,373,40960,-0.70024365,18.48626559972763,-0.013661190203856676,190,0.2,0.7494820356369019,0.00025,0.1244140625,0.013914384,-69.81473474502563,8.386899948120117,1.036576747894287
111,21,386,43008,-2.002511,18.28352490067482,-0.01680740605079336,200,0.2,0.7723631858825684,0.00025,0.174853515625,0.012549613,-69.89723687171936,6.355169773101807,1.0397108793258667
111,22,403,45056,2.717185,25.420743840932847,-0.010008355624449905,210,0.2,0.7477331161499023,0.00025,0.09443359375,0.010914672,-69.99713988304138,9.926287651062012,1.041011929512024
111,23,421,47104,0.90202427,22.456885242462157,-0.01198544863727875,220,0.2,0.7935868501663208,0.00025,0.131494140625,0.012329125,-70.04221115112304,10.996572494506836,1.0418132543563843
111,24,439,49152,-1.7687498,77.95317044854164,-0.014060565200634301,230,0.2,0.8068792819976807,0.00025,0.13486328125,0.0116331,-70.10112857818604,43.037109375,1.0439659357070923
111,25,458,51200,0.9265468,41.83908689022064,-0.010969731034128927,240,0.2,-0.0009033679962158203,0.00025,0.142626953125,0.012678319,-70.1950391292572,17.92462921142578,1.0452020168304443
