time/episodes,time/time_elapsed,time/total_timesteps,train/reward,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss,time/fps
4,38,972,0.50304693,871,0.001,34.296043395996094,162.9998779296875,25
8,84,1944,0.50304693,1843,0.001,131.212890625,163.99935913085938,22
12,138,2916,0.50304693,2815,0.001,31.32471466064453,159.5005340576172,21
16,206,3888,0.50304693,3787,0.001,8.64990520477295,171.28753662109375,18
20,253,4860,0.50304693,4759,0.001,47.047142028808594,166.6746826171875,19
24,322,5832,0.50304693,5731,0.001,5405.49365234375,159.01986694335938,18
28,373,6804,0.50304693,6703,0.001,4.845200538635254,149.9815216064453,18
32,421,7776,0.50304693,7675,0.001,6.224611282348633,151.18284606933594,18
36,469,8748,0.50304693,8647,0.001,7.725302219390869,146.52557373046875,18
40,515,9720,0.50304693,9619,0.001,114.84520721435547,129.50204467773438,18
